需求ID,角色,需求标题,需求描述,需求类型,当前状态,标签,界面入口,当前后端或存储实现,是否基于SQLite,是否硬编码,是否基于LocalStorage,是否需要Agent,Agent工作流设计,是否关联知识库,知识库设计说明,备注,需求处理动作,是否关联0618会议,0618会议新增说明,MVP范围,上线批次,优先级,合规或依赖说明,预估工时,计划开始时间,计划结束时间,排期波次,排期目标
US043,技术团队,对接Gangtise API并完成积分测试,作为技术团队，我希望尽快研究并打通 Gangtise API 与积分测试，以便把演示数据切到真实数据源。,技术需求,部分实现,"指标,数据源",后端数据接入层 / Admin 配置,src/domain/market_services.py + Admin 指标源测试/落地/同步链路 + tests/reports/indicator_sync_bdd_report.html,否,是,否,部分,外部API接入 -> 数据标准化 -> 入库/缓存 -> 提供给知识库与Agent消费,是,需要 source_connector、sync_job、raw_document、normalized_event 等对象。,已完成部分 Gangtise 指标接入、测试与 BDD 报告，但全量迁移到统一数据接入方式仍未完成,新增,是,会议把 API 研究和积分测试列为明确待办。,MVP核心,Batch 1（1个月内）,P0,外部依赖强，需明确API可用性、配额和缓存策略,9.0,2026-06-19,2026-07-08,W1 基础底座,租户/用户/功能控开/合规/数据底座先就位，避免后续返工
US044,平台管理员,统一合规边界与免责声明控制,作为平台管理员，我希望统一控制基本面、复盘、消息和 Hermes 的合规文案与敏感表达边界，以便降低荐股和内容合规风险。,技术需求,部分实现,合规,Admin 合规配置 / H5 / DM / Hermes / 门户,当前已有零散文案和回复模板，但缺少统一策略中心,否,部分,否,部分,敏感意图识别 -> 风险等级判定 -> 文案降级/拦截 -> 审计留痕,否,,需覆盖买卖建议、收益承诺、未验证信息、引用转载等场景,新增,是,会议重点强调荐股风险和首页个股信息的擦边风险。,MVP核心,Batch 1（1个月内）,P0,高合规优先级，需全链路统一,7.0,2026-06-19,2026-07-08,W1 基础底座,租户/用户/功能控开/合规/数据底座先就位，避免后续返工
US045,大V,按自选股自动归纳研究板块,作为大V，我希望系统根据我的自选股自动归纳所属板块、主题和主线，以便快速形成基本面研究面板和复盘样本池。,业务需求,部分实现,"自选股,复盘",H5 自选股 / 工作台 Dashboard / 复盘台,H5 与工作台已展示按板块聚合的粉丝个股观察图表，复盘摘要也可按选中自选股生成归纳；仍缺正式板块配置中心,否,部分,部分,部分,自选股池 -> 股票实体标准化 -> 行业/主题映射 -> 主线聚类 -> 生成板块摘要与推荐观察指标。,是,知识库应支持 watchlist_theme、board_cluster、symbol_theme_binding、theme_evidence。,当前代码里已有 board 字段和相关指标提示，但没有形成独立的板块归纳产品能力。,新增,否,这是你本轮补充明确的基本面核心能力，需要从自选股延展到主题归纳。,MVP核心,Batch 1（1个月内）,P0,依赖股票到行业/主题映射与租户级自选股持久化,6.0,2026-07-31,2026-08-22,W4 自选股研究层,完成自选股、K线、板块归纳、预警与相关配置中心
US046,粉丝用户/大V,查看自选股预警分析,作为粉丝用户或大V，我希望看到自选股的预警等级、触发原因和后续观察项，以便及时发现基本面和交易层面的异动。,业务需求,部分实现,"自选股,预警",H5 自选股详情 / 工作台研究面板,个股详情已有 alert_level / alert_text 等样本预警字段，但未形成统一预警规则中心和历史事件治理,否,部分,否,部分,指标监控 -> 阈值/事件触发 -> 风险等级判定 -> 原因解释 -> 推送到自选股详情/复盘/消息提醒。,是,知识库应支持 alert_rule、alert_event、watch_item、followup_action、theme_risk_pattern。,当前已有预警字段和局部提示文案，但缺少统一规则配置、历史事件留存和消息联动。,新增,否,这是你本轮补充明确的自选股核心能力，应与基本面、复盘和消息联动。,MVP核心,Batch 1（1个月内）,P0,依赖真实指标源、阈值配置和消息触达机制,6.0,2026-07-31,2026-08-22,W4 自选股研究层,完成自选股、K线、板块归纳、预警与相关配置中心
US047,大V/运营,配置基本面展示模板与字段,作为大V或运营，我希望配置基本面页展示哪些模块、字段、排序和文案口径，以便不同租户按自己的研究框架展示内容。,技术需求,未完成,"自选股,模板",工作台基本面配置 / 租户详情 / H5 基本面页,当前基本面详情主要由 gen_watchlist_details() 硬编码返回，缺少租户级字段模板 CRUD,否,是,否,否,,是,需支持 fundamental_template、field_definition、tenant_field_binding、display_order、copy_variant。,这是“基本面有展示，但没有配置展示能力”的核心缺口。,新增,否,这是本轮补充的展示后 CRUD 能力，直接支撑基本面产品化。,MVP核心,Batch 1（1个月内）,P0,需和租户权限、合规字段、前台渲染协议同步设计,9.0,2026-07-18,2026-07-30,W3 基本面与Dashboard,把基本面首页、智能看板、提示词配置从演示态拉到可配置态
US048,技术平台,维护自选股详情数据源与K线配置,作为技术平台，我希望可维护自选股详情、K线、均线和指标来源的配置与数据更新规则，以便前台展示不再依赖演示样本。,技术需求,部分实现,"自选股,数据源",后端数据层 / Admin 数据源配置,当前 K线与详情数据来自 gen_watchlist_details() 演示数据，缺少真实数据接入和管理 CRUD,否,是,否,否,,否,,自选股详情、K线与 ECharts 已接入一部分真实数据能力，但数据源治理与统一配置仍未全部完成,新增,是,与会议里 API 对接、真实数据源替换演示数据的方向一致。,MVP核心,Batch 1（1个月内）,P0,依赖外部行情/基础数据源、缓存与刷新策略,9.0,2026-07-31,2026-08-22,W4 自选股研究层,完成自选股、K线、板块归纳、预警与相关配置中心
US049,大V/运营,维护自选股板块映射与主题分组,作为大V或运营，我希望对自选股的板块、主题、主线和关注标签做新增、修改、归并和排序，以便板块归纳能力可持续维护。,技术需求,未完成,"自选股,配置",工作台自选股配置 / 复盘台 / Dashboard 配置,当前 board/theme 主要内嵌在样本数据中，缺少可维护映射表和租户分组 CRUD,否,部分,否,部分,股票池标准化 -> 推荐主题映射 -> 人工确认归组 -> 回写租户配置。,是,需支持 board_taxonomy、theme_group、symbol_board_mapping、tenant_watchlist_group。,US045 是展示/归纳能力，这条是其背后的配置 CRUD。,新增,否,这是本轮新增的支撑性需求，用于避免板块归纳只能写死在样本里。,MVP核心,Batch 1（1个月内）,P0,依赖股票标准化主数据与租户级分组权限,9.0,2026-07-31,2026-08-22,W4 自选股研究层,完成自选股、K线、板块归纳、预警与相关配置中心
US050,大V/平台管理员,维护自选股预警规则与触达策略,作为大V或平台管理员，我希望维护自选股预警规则、阈值、等级和通知策略，以便预警分析可以持续生效而不是写死在演示数据中。,技术需求,未完成,"自选股,预警",工作台预警中心 / Admin 规则配置 / 消息策略,当前 alert_level、alert_text 为样本字段，缺少规则 CRUD、历史记录和推送策略配置,否,部分,否,部分,规则触发 -> 风险分级 -> 生成解释文案 -> 分发到详情页/复盘/消息。,是,需支持 alert_rule、threshold_set、notification_policy、alert_history、followup_template。,US046 是预警展示能力，这条是其背后的规则配置与 CRUD。,新增,否,这是本轮新增的支撑性需求，用于把预警从展示文案变成可运营能力。,MVP核心,Batch 1（1个月内）,P0,依赖真实指标数据、消息通道和审计留痕,9.0,2026-07-31,2026-08-22,W4 自选股研究层,完成自选股、K线、板块归纳、预警与相关配置中心
US051,大V,持久化管理智能Dashboard草稿与发布版,作为大V，我希望对智能Dashboard的草稿、发布版、回滚版本和提示词槽位做正式增删改查，以便研究面板可以长期维护。,技术需求,已实现,Dashboard,工作台 dashboard / H5 基本面顶部,/api/tenant/<tenant_slug>/dashboard GET/POST + draft/published 双态持久化,否,部分,是,部分,读取配置 -> 生成建议卡片 -> 人工修改 -> 版本发布 -> 前台同步。,是,需支持 dashboard_config、dashboard_slot、dashboard_revision、published_snapshot。,智能 Dashboard 草稿与发布版已持久化管理,新增,否,这是本轮新增的支撑性需求，用于解决“有提示词展示、没正式配置资产”问题。,MVP核心,Batch 1（1个月内）,P0,依赖租户配置表、版本回滚和前台同步协议,9.0,2026-07-18,2026-07-30,W3 基本面与Dashboard,把基本面首页、智能看板、提示词配置从演示态拉到可配置态
US052,大V/运营,维护复盘内容库与发布配置,作为大V或运营，我希望对复盘内容的草稿、发布时间、摘要位、关联自选股和展示顺序做正式管理，以便复盘阅读能力不只停留在样本展示。,技术需求,部分实现,"复盘,发布",工作台复盘台 / 门户代表内容 / H5 复盘区,当前已有复盘 Draft、摘要与自选股归纳总结生成、用户视角预览、发布列表和向量入库；仍缺正式 review 内容库与发布计划配置,否,部分,部分,部分,草稿生成 -> 人工编辑 -> 绑定样本池/证据链 -> 发布调度 -> 前台同步。,是,需支持 review_draft、review_publish_plan、review_watchlist_binding、featured_review_slot。,复盘发布链路、内容落库与复盘详情已形成，但内容库运营与发布策略仍未完整产品化,新增,是,会议强调复盘是核心承接，但当前仍缺正式内容库与发布配置。,MVP核心,Batch 1（1个月内）,P0,依赖知识库、审核发布流和前台栏目编排,9.0,2026-08-23,2026-09-02,W5 复盘与知识库,把复盘生产、知识维护和内容发布库做成 MVP 可闭环状态
US053,大V/运营,维护群发模板与发送任务,作为大V或运营，我希望管理群发模板、发送对象、定时任务和发送记录，以便群发提醒不只是一个模拟按钮。,技术需求,废弃,"消息,运营",原工作台 broadcast / 消息中心（当前未开放）,当前大V工作台已移除群发模板与发送任务入口，相关能力不再纳入本阶段交付,否,部分,否,部分,选择模板 -> 生成分层文案 -> 审核 -> 定时发送 -> 统计回写。,是,需支持 broadcast_template、audience_segment、send_task、delivery_log。,如后续重新启动消息中心，需要与统一消息模块一起重做，不延续当前残留设计,新增,否,这是本轮新增的支撑性需求，用于避免群发只停留在 demo。,MVP受限开放,Batch 1.5（灰度）,P1,依赖消息通道、模板审核和发送日志,7.5,2026-09-07,2026-09-17,W7 灰度互动一期,MVP 上线后灰度开放文件导入、消息处理与初级编排
US054,粉丝用户,在个股详情页留言互动,作为粉丝用户，我希望在个股详情页针对某只股票直接留言、追问和补充观点，以便围绕具体标的做更聚焦的互动。,业务需求,部分实现,"自选股,评论",H5 个股详情页 / 个股研究档案 / 投顾互动区,/api/watchlist/<stock_code>/comments GET/POST/DELETE + Postgres 评论存储,否,否,否,部分,留言提交 -> 股票实体绑定 -> 敏感表达检测 -> 通知大V -> 可选自动摘要/聚类。,是,可沉淀 stock_comment_thread、comment_intent、stock_faq、followup_template。,个股评论后端能力已具备，但前端交互与审核、开关策略仍在完善,新增,否,这是本轮新增补充，用于把互动从私信扩展到内容页上下文。,MVP受限开放,Batch 1.5（灰度）,P1,需接内容审核、股票对象绑定和留言限流策略,6.0,2026-09-07,2026-09-17,W7 灰度互动一期,MVP 上线后灰度开放文件导入、消息处理与初级编排
US055,粉丝用户,在复盘内容页留言互动,作为粉丝用户，我希望在复盘文章下直接留言、提问和讨论，以便围绕具体复盘内容继续追问主线、样本和验证节点。,业务需求,未完成,"复盘,评论",H5 复盘正文页 / 复盘分析报告页,当前复盘页只有阅读与跳转，没有文章级留言区、评论列表和回复链路,否,否,否,部分,评论提交 -> 复盘对象绑定 -> 敏感词/荐股风险检测 -> 通知大V -> 可选问题摘要。,是,可沉淀 review_comment_thread、common_question、reply_template、review_followup_topic。,这是挂在复盘正文下的评论能力，不应被泛消息能力替代。,新增,是,会议虽强调前期控制互动，但复盘是核心内容载体，后续灰度开放时应优先考虑内容上下文内留言。,MVP受限开放,Batch 1.5（灰度）,P1,需接内容审核、文章对象绑定、限流与审核机制,6.0,2026-09-07,2026-09-17,W7 灰度互动一期,MVP 上线后灰度开放文件导入、消息处理与初级编排
US056,技术平台,维护个股与复盘留言线程及审核配置,作为技术平台，我希望对个股留言和复盘留言提供线程、回复、删除、置顶、审核、屏蔽和通知等正式 CRUD 与治理能力，以便内容级互动可控上线。,技术需求,部分实现,"评论,Admin",工作台留言管理 / Admin 审核配置 / H5 内容页,评论接口 + /api/tenant/<tenant_slug>/watchlist-comment-analytics + Admin/工作台统计入口,否,否,否,部分,内容对象绑定 -> 留言入队 -> 风险检测 -> 人工/自动审核 -> 通知/摘要 -> 沉淀 FAQ。,是,需支持 comment_thread、comment_message、moderation_event、content_binding、faq_from_comments。,线程、关键词分析与分布统计已有基础，但审核配置与复盘评论域仍未完全打通,新增,是,会议明确互动初期要克制，因此内容级留言必须带审核、限流和聚类治理能力。,MVP受限开放,Batch 1.5（灰度）,P1,依赖内容审核、租户权限、通知通道和评论对象模型设计,8.5,2026-09-07,2026-09-17,W7 灰度互动一期,MVP 上线后灰度开放文件导入、消息处理与初级编排
US057,平台Admin,监控大模型 Token 与模型消耗,作为平台管理员，我希望在 admin 后台查看按功能、按模型、按小时/天/月的大模型 token 消耗与总量统计，以便评估成本和使用结构。,技术需求,已实现,"Admin,模型",/admin LLM 监控区,/api/admin/token-usage + Postgres token_usage_logs 聚合 + 模型/功能维度图表,否,否,否,否,,否,,已可看 Token、模型与 Hermes 使用统计；功能级模型映射仍需继续补强,新增,否,来自本轮新增需求：要看哪个模型消耗最大并做比较分析。,MVP核心,Batch 1（1个月内）,P0,依赖统一记录所有 LLM/embedding 调用日志,5.0,2026-06-23,2026-06-23,W1 基础底座,补齐大模型监控、成本与效率可观测性
US058,平台Admin,白盒查看与调整证据链过滤提示词,作为平台管理员，我希望在 admin 后台查看并调整知识过滤提示词与超时参数，以便监督大模型过滤逻辑并优化精准度。,技术需求,已实现,"Admin,证据链",/admin LLM 配置 / 证据链配置,site_config.evidence_chain(Postgres app_settings) + /api/evidence-chain/query + admin 配置保存,否,否,否,部分,需要,证据链工作流：召回候选 -> 大模型相关性过滤 -> 保留依据 -> 可选问答生成。,是,已支持 filter_prompt_system、filter_prompt_user_template、timeout 白盒配置与复用 API,新增,否,来自本轮新增需求：过滤能力提示词需要在 admin 可监督查看和修改。,MVP核心,Batch 1（1个月内）,P0,需和知识召回、问答生成、审计留痕统一口径,4.5,2026-06-23,2026-06-23,W1 基础底座,补齐大模型监控、成本与效率可观测性
US059,平台Admin/大V,共享用户导入服务,作为平台管理员或大V，我希望使用同一套用户导入服务完成模板下载、CSV 导入、单个新增和批量手工录入，以便统一管理用户资产。,业务需求,已实现,"用户,导入",/admin 用户管理 / 大V工作台粉丝管理,/api/admin/users* + /api/kol/users* + Postgres users 表 + 共用 CSV 模板与导入逻辑,否,否,否,否,,否,,admin 可导入粉丝/大V/admin；大V 仅可导入自己租户下粉丝,新增,否,来自本轮新增需求：admin 与大V后台都要有用户导入能力，但服务是同一个。,MVP核心,Batch 1（1个月内）,P0,需确保角色范围和租户归属校验正确,4.5,2026-06-23,2026-06-23,W1 基础底座,补齐用户资产导入与角色边界
US060,粉丝用户/大V,实时看到大模型执行进度,作为粉丝用户或大V，我希望在页面上实时看到大模型处理阶段、日志和状态，而不是只有等待，以便确认后台仍在工作中。,业务需求,已实现,"Agent,进度",H5 / 大V工作台 长任务面板,user_async_jobs(Postgres) + 前端进度面板 + 轮询状态展示,否,否,否,部分,需要,否,,长任务进度与 Hermes 思考过程已可视化，但不同能力的统一进度协议仍在演进,新增,否,来自本轮新增需求：不要只显示等待，需要明确看到后台还在工作。,MVP核心,Batch 1（1个月内）,P0,只展示进度与阶段，不暴露链路内部思考内容,4.0,2026-06-23,2026-06-23,W1 基础底座,补齐长任务可见性与交互反馈
US061,平台Admin/大V,弹框查看用户详情,作为平台管理员或大V，我希望点击用户后弹出详情页，查看角色、归属租户、等级和状态等信息，以便快速核对用户资产。,业务需求,已实现,"用户,弹窗",/admin 用户表 / 大V工作台粉丝表,前端详情弹框 + Postgres users 表 + 统一用户详情字段,否,否,否,否,,否,,admin 和大V 视角已统一保持一致,新增,否,来自本轮新增需求：点击用户详情，需要弹框详情页，大V后台也需一致。,MVP核心,Batch 1（1个月内）,P1,需保证不同角色下可见字段边界一致,2.5,2026-06-23,2026-06-23,W1 基础底座,补齐用户详情查看体验
US062,平台Admin,功能开关联动左右菜单与模块归属,作为平台管理员，我希望功能开关不仅控制能力本身，也联动 admin 和大V后台左侧菜单显隐，并按模块归属统一管理，以便前后台口径一致。,技术需求,已实现,"配置,菜单",/admin 功能开关 / 大V工作台左侧菜单,feature_flags(Postgres app_settings) + 前端菜单过滤 + 模块归属映射,否,否,否,否,,否,,已处理会员关闭时隐藏积分管理和用户分层等归属关系,新增,否,来自本轮新增需求：所有功能都要在功能开关中有对应关系，并影响菜单展示。,MVP核心,Batch 1（1个月内）,P0,需持续维护模块归属映射和菜单协议一致性,4.0,2026-06-23,2026-06-23,W1 基础底座,补齐功能开关与前后台一致性控制
US063,技术平台,抽象独立证据链查询 API,作为技术平台，我希望把知识过滤与证据链查询抽象成独立 API，供 H5 dashboard、复盘等后续能力复用，以便统一查找依据和来源链路。,技术需求,已实现,"证据链,API",/api/evidence-chain/query,独立证据链 API + 知识召回 + 大模型过滤/问答复用链路,否,否,否,部分,需要,统一入口：query -> retrieve -> filter -> answer -> source attribution。,是,后续可扩展到股票复盘节点标注、证据链追踪和更多内容对象,新增,否,来自本轮新增需求：证据链能力建议抽象成独立 API 以便复用。,MVP核心,Batch 1（1个月内）,P0,需保持来源说明、过滤逻辑和问答口径统一,4.5,2026-06-23,2026-06-23,W1 基础底座,补齐证据链基础设施
US064,平台产品,删除单一粗粒度 DM 开关设计,作为平台产品，我希望废弃仅用一个粗粒度 dm 开关覆盖全部消息互动的最终方案，以便避免复盘通知、群发和粉丝互动无法拆分治理。,业务需求,废弃,"消息,配置",Admin 功能开关,原始单一 dm 开关已确认废弃，不再作为最终产品设计目标,否,否,否,否,,否,,旧的粗粒度 DM 开关设计已不再采用，转向更细粒度的互动控制,删除,否,来自本轮新增需求：粉丝与大V互动需要独立功能开关，不能只靠一个总 dm 开关。,MVP核心,Batch 1（1个月内）,P0,涉及历史兼容与前端菜单联动策略,2.0,2026-06-23,2026-06-23,W1 基础底座,清理不再适用的粗粒度开关设计
US065,平台Admin/大V,独立控制粉丝与大V互动开关,作为平台管理员或大V，我希望把粉丝与大V互动单独作为一个功能开关控制，以便在大V不想开放私信时，仍能保留复盘通知和群发消息能力。,业务需求,部分实现,"消息,配置",Admin 功能开关 / H5 消息入口 / 大V工作台消息区,当前尚未拆出 fan_interaction 等细粒度互动开关，且工作台消息区已下线；如重启需重新设计入口与权限联动,否,否,否,否,,否,,已有 fan_interaction 等开关基础，但粉丝/大V/粉丝互评的细粒度分拆仍未完全完成,新增,否,来自本轮新增需求：大V一开始并不希望粉丝给自己消息，怕回不过来。,MVP核心,Batch 1（1个月内）,P0,需与菜单显隐、消息接口权限和默认策略统一设计,3.5,2026-06-23,2026-06-23,W1 基础底座,补齐消息功能精细化控开
US066,大V/粉丝用户,统一消息模块,作为大V或粉丝用户，我希望消息模块统一包含复盘通知、群发消息和粉丝互动三类消息，并共享统计、历史记录和触达状态，以便形成完整消息中心。,业务需求,废弃,消息,H5 消息区 / 大V工作台消息中心 / 群发助手,当前消息、群发、复盘提醒仍未统一成正式线程/事件模型，且大V工作台消息/群发 UI 已移除,否,部分,部分,部分,需要,建议工作流：事件入库 -> 会话归并 -> 复盘通知/群发/互动分发 -> 状态回写 -> 后续统计与聚类。,是,“工作台消息中心 + 群发助手”的旧统一设计已被新的 H5 消息页口径替代,新增,否,来自本轮新增需求：完成整个消息模块制作，统一承接复盘消息通知、群发和互动消息。,MVP核心,Batch 1（1个月内）,P0,需和功能开关、用户归属、内容对象和统计口径一起落地,8.0,2026-06-23,2026-06-23,W1 基础底座,补齐统一消息中心与真实服务能力
US067,技术平台,将 app.py 入口化并拆分路由与领域层,作为技术平台，我希望 app.py 只保留入口职责，并先把页面路由和领域逻辑拆开，以便降低超大文件维护风险。,架构优化,已实现,架构,app.py / src/web / src/domain,app.py 已转为薄入口；路由拆到 src/web，领域逻辑拆到 src/domain，启动装配在 src/app_setup.py,否,部分,否,否,,否,,完成了第一层拆分，但 runtime/services 仍有全局聚合耦合,新增,否,来自本轮架构治理需求。,架构底座,架构增量,P0,后续仍需继续下沉数据库访问和外部依赖层,6.0,2026-07-12,2026-07-13,A1 应用分层,先把入口、路由、领域逻辑从超大单文件里拆出
US068,技术平台,下沉数据库访问层与外部依赖层,作为技术平台，我希望把数据库访问、第三方数据源和外部依赖继续从领域逻辑中下沉出来，以便形成更清晰的架构边界。,架构优化,部分实现,"架构,数据层",src/runtime.py / src/services.py / src/domain/*,已完成部分模块拆分，但数据库访问仍多处直接 psycopg2.connect，runtime/services 仍承担全局聚合作用,否,部分,否,否,,否,,runtime/domain 分层已推进，但基础设施层与外部依赖封装仍有继续拆分空间,新增,否,来自本轮架构治理需求。,架构底座,架构增量,P0,后续会直接影响扩容、可测性和故障隔离,8.0,2026-07-15,2026-07-20,A2 基础设施层,形成 infra/db、infra/llm、infra/market 等清晰边界
US069,技术平台,将 Web 进程内后台线程改造为独立 Worker/Scheduler,作为技术平台，我希望把当前运行在 Web 进程里的后台轮询线程剥离成独立 Worker 或 Scheduler，以便支持多实例部署和安全扩容。,架构优化,未完成,"架构,Worker",src/domain/core_services.py,当前 task center 和 user_async_jobs 仍在 Web 进程内以 daemon thread 运行,否,否,否,否,,否,,这是当前承压和横向扩容的首要瓶颈,新增,否,来自本轮架构治理需求。,架构底座,架构增量,P0,建议与 user_async_jobs 表保留兼容，但消费逻辑迁移到独立进程,8.0,2026-07-21,2026-07-25,A3 Worker 化,拆出独立 Worker/Scheduler，避免多 worker 重复消费
US070,技术平台,拆分 H5、工作台、Admin 巨石模板,作为技术平台，我希望把 H5、工作台和 Admin 的超大模板拆成模块化页面资源，以便降低前端改动风险并提升维护效率。,架构优化,未完成,"架构,前端",templates/h5.html / templates/kol_workbench.html / templates/admin.html,当前三大模板仍维持单文件大体量结构，内联脚本与样式较多,否,部分,部分,否,,否,,这是当前前端可维护性和多人并行开发的主要阻力之一,新增,否,来自本轮架构治理需求。,架构底座,架构增量,P1,建议先拆 partials、独立 JS/CSS，再评估是否前端框架化,10.0,2026-07-26,2026-08-02,A4 前端模块化,结束单模板上万行的巨石前端模式
US071,技术平台,完成架构评估与容量治理重构方案,作为技术平台，我希望对当前系统的通用性、可扩展性、承压能力和容量上限做系统评估，并形成后续重构方案。,架构优化,已实现,"架构,容量",docs/system_architecture_refactor_plan.md,已输出系统架构评估、分阶段重构方案、容量估算和目标架构建议文档,否,否,否,否,,否,,当前已完成方案设计，尚未进入后续实施阶段,新增,否,来自本轮架构治理需求。,架构底座,架构增量,P0,需要后续继续补压测、监控和生产部署方案,3.0,2026-07-15,2026-07-15,A0 评估,先形成可执行的架构治理蓝图
US072,技术平台,统一 Postgres 主库并清理 SQLite 残留口径,作为技术平台，我希望将系统口径统一到 Postgres 主库，并逐步清理历史 SQLite 表述与兼容残留，以便避免架构认知混乱。,架构优化,部分实现,"架构,Postgres",src/runtime.py / src/domain/core_services.py / CSV需求盘点,当前主要业务数据已切到 Postgres，但代码中仍保留部分 sqlite3 兼容导入与历史文档口径残留,否,部分,部分,否,,否,,主库口径已统一为 Postgres，但代码和文档中仍有少量 SQLite 历史表述需要继续清理,新增,否,来自本轮架构治理需求。,架构底座,架构增量,P1,需与 localStorage 后端迁移、文档同步更新一起推进,4.0,2026-07-15,2026-07-18,A1.5 数据口径统一,统一数据库口径，避免产品与技术文档继续写 SQLite
US073,粉丝用户/大V,管理 Hermes 新会话与历史会话,作为 Hermes 用户，我希望可以新建会话、查看历史会话并继续追问，以便把研究问题按主题持续沉淀。,业务需求,已实现,"Hermes,会话",H5 Hermes,/api/hermes/sessions + /api/hermes/sessions/<session_id> + hermes_conversation_turns,否,否,部分,是,会话装载 -> 记忆读取 -> 路由 -> 回答 -> 记忆回写,是,会话优先结合租户知识库与历史记忆。,已支持新会话入口、历史会话抽屉与继续问答。,新增需求，已落地,否,会话化是 Hermes 从单轮问答升级为长期助手的关键。,MVP核心,Batch 2（持续迭代）,P0,需与 Hermes 记忆治理和权限隔离联动,3.0,2026-07-20,2026-07-22,W5 Hermes 记忆与会话,完善会话管理与长期记忆承载
US074,平台Admin/大V,治理 Hermes 记忆备份与清理,作为平台管理员或租户管理员，我希望可以按时间范围预览、备份和清理 Hermes 记忆，以便满足治理、审计与容量控制需要。,技术需求,已实现,"Hermes,治理",/admin Hermes 记忆治理,/api/admin/hermes/memory-summary /memory-clear-preview /memory-backup /memory-clear,否,否,否,否,,否,,已支持按 1个月/3个月/6个月/1年/全部做预览、备份与清理。,新增需求，已落地,否,属于后续治理增强需求。,增强能力,Batch 2（持续迭代）,P1,需谨慎控制权限并保留审计信息,3.0,2026-07-20,2026-07-22,W5 Hermes 记忆与会话,形成 Hermes 记忆治理闭环
US075,平台Admin,查看 Hermes 使用统计与算力消耗,作为平台管理员，我希望看到 Hermes 的调用量、算力消耗、工具动作和用户排行，以便做模型治理和容量决策。,技术需求,部分实现,"Hermes,统计",/admin Hermes 使用统计,/api/admin/hermes/usage-stats + LLM usage aggregation,否,否,否,否,,否,,今日调用、本月调用、平均延迟等已有基础，但算力池与部分统计维度仍在完善。,新增需求，持续补齐,否,属于治理增强。,增强能力,Batch 2（持续迭代）,P1,需统一模型使用日志口径,2.5,2026-07-20,2026-07-25,W5 Hermes 记忆与会话,补齐 Hermes 运维与统计看板
US076,平台Admin,可视化查看智能体工作流中心,作为平台管理员，我希望从上到下查看每个智能体的工作流结构和节点细节，以便理解智能体如何运行并做治理。,技术需求,部分实现,"Agent,工作流",/admin 智能体工作流中心,/api/admin/agent-workflows + workflow registry + Admin 可视化面板,否,部分,否,否,节点清单、依赖关系、执行顺序、节点详情抽屉,否,,工作流中心已可查看 Hermes 等流程，但并非所有智能体都已完全迁入统一框架。,新增需求，持续补齐,否,属于 AI 治理可视化需求。,增强能力,Batch 2（持续迭代）,P1,需统一工作流元数据协议,3.5,2026-07-18,2026-07-25,W5 Hermes 记忆与会话,建立工作流中心与智能体治理控制面
US077,大V/平台Admin,建设知识专区与多视角知识图谱,作为大V或平台管理员，我希望在 H5/工作台/Admin 里查看知识专区与知识图谱，并按租户或平台总图浏览知识连接关系。,业务需求,部分实现,"知识库,图谱",H5 知识专区 / 工作台知识专区 / Admin 知识图谱,/api/kol/knowledge-graph /api/admin/knowledge-graph + knowledge_graph_services.py,否,部分,否,是,知识抽取 -> 标签/QKV -> 图谱聚合 -> 多层级渲染,是,知识图谱应基于知识实体与标签，而不是仅基于文件节点。,图谱与专区已进入当前产品，但独立页面、层级控制与性能优化仍在持续完善。,新增需求，持续补齐,否,属于知识库二阶段演进。,增强能力,Batch 2（持续迭代）,P1,需控制图谱规模与租户隔离,5.0,2026-07-19,2026-07-28,W6 知识专区与图谱,形成知识专区、知识图谱与多租户视图
US078,大V,以双层结构生产复盘并发布,作为大V，我希望复盘先形成用户复盘 Draft，再生成摘要和自选股归纳总结，并在发布页清晰区分这两个部分。,业务需求,部分实现,"复盘,Agent",H5 复盘功能 / Web 复盘生产台,review draft/polish/prepare-preview/publish 异步链路 + 复盘详情结构化字段,否,否,否,是,用户输入 -> Draft -> 用户确认 -> 摘要与自选股归纳 -> 发布,是,复盘可引用知识源与自选股分析结果。,基础流程已具备，但 Web/H5 完全对齐、字段结构和详情展示仍在继续打磨。,新增需求，持续补齐,否,属于复盘能力深化。,MVP核心,Batch 2（持续迭代）,P0,需保证摘要与归纳不直接构成投资建议,4.5,2026-07-18,2026-07-27,W4-W6 复盘深化,把复盘生产从单段文本升级为结构化双层内容
US079,技术平台,用自选股K线标注驱动复盘归纳,作为平台能力，我希望在复盘归纳阶段引用用户在自选股 K 线图上的标注内容，作为自选股总结和板块归纳的重要输入。,技术需求,部分实现,"自选股,复盘",H5 自选股标注 / 复盘 Agent 链路,watchlist annotations 持久化 + review compose/prepare-preview 链路待深度打通,否,否,否,是,标注读取 -> 标的聚合 -> 板块代表性归纳 -> 回填复盘结构,是,标注可作为用户私有知识与复盘证据。,标注持久化已完成，但归纳阶段对标注的深度利用仍在继续实现与验证。,新增需求，持续补齐,否,属于复盘与自选股联动深化。,增强能力,Batch 2（持续迭代）,P1,需防止将主观标注直接放大为结论,3.5,2026-07-21,2026-07-28,W6 复盘与标注联动,让标注成为复盘归纳输入而非孤立行为
