需求ID,角色,需求标题,需求描述,需求类型,当前状态,标签,界面入口,当前后端或存储实现,是否基于SQLite,是否硬编码,是否基于LocalStorage,是否需要Agent,Agent工作流设计,是否关联知识库,知识库设计说明,备注,需求处理动作,是否关联0618会议,0618会议新增说明,MVP范围,上线批次,优先级,合规或依赖说明,预估工时,计划开始时间,计划结束时间,排期波次,排期目标,代码实现状态,实现证据（代码/BDD/迁移）,实现活动时间范围（Git）,审计结论,Codex Token 输入（会话估算）,Codex Token 输出（会话估算）,Codex Token 总计（会话估算）,Token 数据质量,Codex 会话归因开始时间,Codex 会话归因结束时间,Codex 累计会话运行时长（小时）,会话归因人天（8小时）,工时数据质量,关联Bug数,关联Bug编号,最后审计时间,审计基线提交
US027,平台Admin,查看访问审计,作为平台管理员，我希望查看访问日志和统计，以便审计平台使用情况。,业务需求,已实现,"Admin,审计",/admin,/api/admin/access-stats + /api/admin/access-logs + Postgres access_logs,否,否,否,否,,否,,访问日志真实写库,已存在，更新分批,否,访问审计是水印追溯和运营分析的基础。,MVP核心,Batch 1（1个月内）,P1,需保留用户、时间、页面访问链路,2.5,2026-09-03,2026-09-06,W6 导粉与验收缓冲,完成导粉、审计、端到端联调和 MVP 上线前验收,已实现,src/web/api_core.py；src/domain/core_services.py,2026-05-20 至 2026-09-18,访问审计可查看。,41,92,134,项目会话可见文本离线估算；1轮按用户请求关键词归因，多需求轮次均分；不是供应商账单。,2026-08-13 20:39:32,2026-08-13 20:46:44,0.01,0.002,用户请求至可见助手回复的时长，按关键词归因并均分；不等同于连续人工工时。,0,,2026-09-18,a8f48a9
US028,平台Admin,配置预测工作流,作为平台管理员，我希望定义预测算法工作流与参数，以便统一控制预测逻辑。,技术需求,已实现,"预测,工作流",/admin forecast,/api/admin/forecast-config + Postgres app_settings.forecast_workflow_graph,否,否,否,部分,需要,Forecast Agent/Workflow：source -> raw_signal -> clip -> volatility_cap -> backtest_blend -> confidence_guard -> output。,否,预测工作流图配置已可维护，但仍是参数化预测流，不是独立预测引擎,已存在，更新分批,否,预测工作流按既定规划放到二期。,二期,Batch 2（1个月后）,P2,依赖模型、回测和解释层,4.0,2026-09-26,2026-09-30,W10 二期预测与知识引用,补齐知识引用、预测配置和结果展示,已实现,src/runtime.py：工作流定义；src/domain/ai_services.py,2026-07-11 至 2026-09-18,预测/智能体工作流有声明式元数据。,0,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未消耗。,,,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未耗时。,0,,2026-09-18,a8f48a9
US029,粉丝用户,查看预测结果,作为粉丝用户，我希望看到基本面判断/预测结果，但仅在平台开放时可用。,业务需求,部分实现,预测,H5 个股详情,/api/watchlist/<stock_code> 返回 forecast；feature_flag 可关闭,否,部分,否,部分,需要,真实预测需接行情/财务/回测 Agent 或计算服务。,是,预测结果可查看，但属于受控能力，工作流解释与多模型治理仍有限,已存在，更新分批,否,预测结果查看不进入首月MVP。,二期,Batch 2（1个月后）,P2,需置信度、历史回测与免责声明,4.0,2026-09-26,2026-09-30,W10 二期预测与知识引用,补齐知识引用、预测配置和结果展示,部分实现,src/domain/market_services.py；templates/h5.html,2026-07-11 至 2026-09-18,市场分析结果可展示，预测精度与覆盖面不应视为已验收。,0,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未消耗。,,,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未耗时。,0,,2026-09-18,a8f48a9
US030,大V,查看经营Dashboard,作为大V，我希望查看粉丝增长、消息分布、发布趋势等经营指标，以便判断运营情况。,业务需求,部分实现,"Dashboard,经营",工作台 biz-dashboard,工作台经营卡片 + /api/tenant/<tenant_slug>/watchlist-comment-analytics + 访问统计聚合,否,是,否,部分,可选,Agent 可做经营洞察总结，但基础看板不强依赖。,否,本月协同收入、付费样本、个股留言、今日浏览已接入真实聚合；更完整经营分析仍待补齐,已存在，更新分批,否,固定Dashboard是门户中部的标准承接模块。,MVP核心,Batch 1（1个月内）,P1,先固定模板，避免首月过度智能化,2.5,2026-07-18,2026-07-30,W3 基本面与Dashboard,把基本面首页、智能看板、提示词配置从演示态拉到可配置态,部分实现,templates/kol_workbench.html；src/domain/workbench_services.py,2026-07-09 至 2026-09-18,运营/互动图表已实现，指标口径持续迭代。,159,1786,1945,项目会话可见文本离线估算；4轮按用户请求关键词归因，多需求轮次均分；不是供应商账单。,2026-09-16 00:05:37,2026-09-16 23:29:21,0.09,0.011,用户请求至可见助手回复的时长，按关键词归因并均分；不等同于连续人工工时。,0,,2026-09-18,a8f48a9
US031,大V,定义智能Dashboard与提示词面板,作为大V，我希望用提示词、布局和指标槽位定义智能 Dashboard，并清楚展示当前提示词配置，以便把基本面研究框架产品化。,业务需求,已实现,"Dashboard,指标",工作台 dashboard / H5 基本面顶部,/api/tenant/<tenant_slug>/dashboard + fund_dashboard_config(Postgres app_settings) + indicator_definitions/formula_js 智能指标入库,否,部分,是,是,面板 Agent：读取提示词槽位 -> 解析指标语义 -> 拉取候选数据 -> 生成 panel schema -> 产出展示卡片与说明文案。,是,知识库可存 dashboard_prompt、metric_semantics、panel_examples、watchlist_theme_binding。,已具备布局选择、草稿/发布态、智能指标预览确认后持久化、H5/Web 同步展示,已存在，更新分批,是,基本面首页需要由大V可定义的研究框架驱动，智能Dashboard应作为基本面重要组成。,MVP核心,Batch 1（1个月内）,P0,需先完成配置持久化与提示词展示协议，避免只停留在演示态,6.0,2026-07-18,2026-07-30,W3 基本面与Dashboard,把基本面首页、智能看板、提示词配置从演示态拉到可配置态,已实现,templates/admin.html；src/domain/core_services.py,2026-07-09 至 2026-09-18,智能面板与提示词配置有管理入口。,0,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未消耗。,,,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未耗时。,0,,2026-09-18,a8f48a9
US032,粉丝用户,查看社区与活动,作为粉丝用户，我希望浏览社区帖子和活动，以便参与平台互动。,业务需求,部分实现,社区,H5 community,/api/community/* 仍返回演示数据，且 feature_flag community 默认关闭,否,是,否,否,,否,,仅保留演示入口，未进入当前主线产品交付,已存在，更新分批,否,社区/活动不在本次会议优先级内。,三期,Batch 3（商业化/生态）,P2,默认继续关闭，避免运营负担,2.0,2026-10-04,2026-10-08,W12 三期生态,处理社区、Skill 生态和内容分发等扩展能力,部分实现,templates/h5.html；src/web/api_quiz.py；src/domain/quiz_services.py,2026-09-16 至 2026-09-18,盲盒活动与互动数据存在，完整社区能力未完成。,4300,15175,19475,项目会话可见文本离线估算；52轮按用户请求关键词归因，多需求轮次均分；不是供应商账单。,2026-06-07 16:53:47,2026-09-17 12:28:34,2.03,0.253,用户请求至可见助手回复的时长，按关键词归因并均分；不等同于连续人工工时。,1,BUG-006,2026-09-18,a8f48a9
US033,大V,扫码导入粉丝,作为大V，我希望通过扫码和联系方式承接粉丝，以便导入到自己的租户体系。,业务需求,未完成,"用户,导入",门户 contact / 工作台说明,UI与文案已实现，无真实扫码导入流程,否,是,否,部分,可选,Agent 可做导入后欢迎流程和首轮问答引导。,是,当前已有用户导入模板与 CSV 导入，但扫码导入流程尚未建设,已存在，更新分批,否,粉丝扫码导入已被明确列入首月MVP。,MVP核心,Batch 1（1个月内）,P0,需和租户归属、渠道标记联动,6.0,2026-09-03,2026-09-06,W6 导粉与验收缓冲,完成导粉、审计、端到端联调和 MVP 上线前验收,部分实现,src/web/api_kol.py: fan_qr_import；src/runtime.py: fan_qr_import,2026-09-15 至 2026-09-18,二维码导入功能受开关治理；当前登录注册已恢复普通填写模式。,590,6448,7038,项目会话可见文本离线估算；15轮按用户请求关键词归因，多需求轮次均分；不是供应商账单。,2026-06-18 15:06:32,2026-09-16 03:20:06,1.06,0.132,用户请求至可见助手回复的时长，按关键词归因并均分；不等同于连续人工工时。,0,,2026-09-18,a8f48a9
US034,平台方,让门户/H5/工作台/Admin 口径一致,作为平台方，我希望不同端的角色和能力边界保持一致，以便避免产品叙事混乱。,技术需求,已实现,多端一致性,首页/各端,多处模板与 gen_kol_workbench 文案/结构统一,否,部分,否,否,,否,,属于产品一致性实现,已存在，更新分批,否,多端口径一致是当前产品设计主线。,MVP核心,Batch 1（1个月内）,P0,需统一租户配置和展示协议,4.5,2026-06-19,2026-07-08,W1 基础底座,租户/用户/功能控开/合规/数据底座先就位，避免后续返工,已实现,src/web/pages.py；templates/h5.html；templates/kol_workbench.html；templates/admin.html,2026-07-12 至 2026-09-18,多端共用后端租户与角色口径。,22450,140850,163300,项目会话可见文本离线估算；254轮按用户请求关键词归因，多需求轮次均分；不是供应商账单。,2026-05-27 00:15:56,2026-09-17 23:24:41,18.11,2.263,用户请求至可见助手回复的时长，按关键词归因并均分；不等同于连续人工工时。,0,,2026-09-18,a8f48a9
US035,大V,维护租户品牌与门户配置,作为大V或平台方，我希望租户品牌配置和门户配置归属于租户详情，而不是散落在系统设置。,业务需求,部分实现,"门户,品牌",admin + portal cms,品牌配置、门户 CMS、租户基础资料均已进入 Postgres app_settings/site_config，但后台字段体系仍可继续深化,否,部分,否,否,,否,,租户详情页语义已调整，但后台结构仍可继续深化,已存在，更新分批,否,租户品牌与门户配置是租户详情页的核心组成。,MVP核心,Batch 1（1个月内）,P1,需从系统设置中彻底收拢到租户管理,5.0,2026-07-09,2026-07-17,W2 门户与租户配置,打通租户门户、CMS、品牌配置与发布链路,部分实现,src/domain/core_services.py；templates/admin.html,2026-06-07 至 2026-09-18,租户品牌/门户配置可维护，视觉资产治理未完全验收。,1564,2676,4241,项目会话可见文本离线估算；7轮按用户请求关键词归因，多需求轮次均分；不是供应商账单。,2026-06-07 16:53:47,2026-09-04 00:40:45,0.15,0.019,用户请求至可见助手回复的时长，按关键词归因并均分；不等同于连续人工工时。,0,,2026-09-18,a8f48a9
US036,技术平台,构建真实知识库数据层,作为技术平台，我希望知识库不再只是硬编码和前端状态，而是有正式存储、版本、检索和绑定关系。,技术需求,部分实现,"知识库,数据层",工作台 knowledge / 证据链查询 / 向量入库,知识录入、编辑、向量化、召回和证据链查询已接入；仍缺完整 revisions / relations / skill bindings 资产层,否,部分,部分,是,需要,建议工作流：ingest -> normalize -> chunk -> entity/tag extraction -> embed -> store -> bind to skills -> retrieve -> feedback loop。,是,主库已统一以 Postgres 为口径，向量检索与知识问答已接入，但知识清洗/治理仍在演进,已存在，更新分批,是,会议把知识库沉淀定为长期核心，因此真实数据层要前置。,MVP核心,Batch 1（1个月内）,P0,是知识库、复盘、智能体共用底座,9.0,2026-06-19,2026-07-08,W1 基础底座,租户/用户/功能控开/合规/数据底座先就位，避免后续返工,部分实现,src/domain/knowledge_graph_services.py；sql/postgres/*knowledge*.sql,2026-07-12 至 2026-09-18,PostgreSQL 知识数据层存在，但模块处于收敛开关状态。,0,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未消耗。,,,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未耗时。,0,,2026-09-18,a8f48a9
US037,技术平台,构建真实Agent编排层,作为技术平台，我希望把 Hermes、复盘、知识处理、消息辅助等能力接到统一 Agent 编排层。,技术需求,部分实现,"Agent,工作流",异步任务中心 / 证据链查询 / 复盘生成链路,当前已具备 user_async_jobs、证据链过滤与问答、复盘生成等受限编排；仍缺统一 orchestrator、工具协议和跨能力审计编排层,否,部分,否,是,需要,统一 Agent Orchestrator：intent router / retrieval / tool calling / structured output / human-in-the-loop / audit log。,是,Hermes、证据链、复盘、指标等已进入工作流化方向，但并非所有智能体都已完全统一到同一框架,已存在，更新分批,是,会议把智能体定位为大V的24小时服务能力，但首期可做受限编排。,MVP受限开放,Batch 1.5（灰度）,P0,先支撑复盘/知识问答，再扩展到Hermes,8.5,2026-09-07,2026-09-17,W7 灰度互动一期,MVP 上线后灰度开放文件导入、消息处理与初级编排,部分实现,src/domain/ai_services.py；src/runtime.py,2026-07-11 至 2026-09-18,编排、拦截、工具调用与审计已实现；仍需继续拆分治理。,497,2666,3162,项目会话可见文本离线估算；10轮按用户请求关键词归因，多需求轮次均分；不是供应商账单。,2026-07-11 19:27:18,2026-07-29 11:16:19,0.25,0.032,用户请求至可见助手回复的时长，按关键词归因并均分；不等同于连续人工工时。,0,,2026-09-18,a8f48a9
US038,技术平台,把前端 localStorage 状态迁移到后端,作为技术平台，我希望把自选股、K线标注、自定义 Skill、知识微调等前端状态迁移到服务端，以便跨端同步和可审计。,技术需求,未完成,"架构,状态",多处前端,当前 localStorage 为主,否,否,是,部分,可选,Agent 不必须，但迁移后才能支持更完整工作流和协同。,是,迁移后知识与 skill 才能真正形成租户级长期资产。；这是从 demo 到产品化的关键一步,已存在，更新分批,否,localStorage状态不迁移，租户资产就无法长期沉淀。,MVP核心,Batch 1（1个月内）,P1,优先迁移自选股、标注、Skill配置,8.0,2026-07-31,2026-08-22,W4 自选股研究层,完成自选股、K线、板块归纳、预警与相关配置中心,部分实现,src/web/api_core.py；src/domain/core_services.py,2026-08-13 至 2026-09-18,关键业务状态已后端化；前端仍有少量体验态 LocalStorage。,0,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未消耗。,,,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未耗时。,0,,2026-09-18,a8f48a9
US039,平台产品,开启一期只读模式,作为平台产品，我希望一期以前台只读内容承接为主，减少大V实时互动负担，以便先验证内容价值与转化路径。,业务需求,部分实现,"配置,合规",Admin 功能控开 / 门户 / H5 / 工作台菜单,当前已可通过 feature flag 隐藏部分互动入口和左侧菜单；仍缺租户级一键只读模式编排与更细粒度留言开关,否,否,否,否,,否,,已能通过 feature flag 隐藏部分互动入口和菜单，但还没有真正的一键租户只读模式,新增,是,会议明确一阶段优先只读效果，互动功能初期暂不全面开放。,MVP核心,Batch 1（1个月内）,P0,降低客服压力与合规暴露面,8.0,2026-06-19,2026-07-08,W1 基础底座,租户/用户/功能控开/合规/数据底座先就位，避免后续返工,部分实现,src/runtime.py；src/domain/core_services.py,2026-07-12 至 2026-09-18,功能开关支持限制能力，但没有独立一期只读发布模式验收证据。,0,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未消耗。,,,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未耗时。,0,,2026-09-18,a8f48a9
US040,大V,自动归纳粉丝共性问题,作为大V，我希望系统自动聚合同类粉丝提问并生成待回复问题列表，以便只处理高频问题。,业务需求,未完成,"消息,Agent",工作台消息中心 / Agent 编排层,当前无问题聚类、摘要和待办队列,否,否,否,是,消息采集 -> 意图识别 -> 相似问题聚类 -> 摘要生成 -> 待大V确认回复 -> 模板回灌知识库,是,需要 question_cluster、intent、canonical_answer、reply_template 四类对象。,可作为互动能力开放前的缓冲层,新增,是,会议提出若能自动归纳用户提问，后续可考虑开放互动。,二期,Batch 2（1个月后）,P1,依赖消息数据沉淀和Agent聚类能力,6.5,2026-09-19,2026-09-25,W9 二期智能体,做语音复盘、问题归纳和 Hermes 深化,未完成,未找到面向粉丝共性问题的独立汇总任务/页面。,不适用,互动洞察不等同于自动共性问题归纳。,0,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未消耗。,,,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未耗时。,0,,2026-09-18,a8f48a9
US041,平台管理员,付费内容水印与盗版追溯,作为平台管理员，我希望对付费内容叠加用户标识水印并支持追溯，以便识别截图外传与盗版账号。,技术需求,未完成,"合规,审计",H5 付费内容页 / 图片导出层 / Admin 审计,当前无动态水印、无盗版追溯链路,否,否,否,否,,否,,建议水印包含用户ID、时间戳、租户、渠道来源，并与访问日志关联,新增,是,会议明确提出截图传播风险，需要类似飞书的浅显动态水印。,MVP受限开放,Batch 2（收费能力开放前）,P1,依赖登录态、付费态、访问审计和封禁流程,7.5,2026-10-01,2026-10-03,W11 收费前安全能力,在收费前补上水印与盗版追溯,未完成,src/runtime.py 有防截图水印开关；未见盗版追溯闭环。,2026-08-31,仅水印相关开关，不足以满足追溯。,50,578,628,项目会话可见文本离线估算；2轮按用户请求关键词归因，多需求轮次均分；不是供应商账单。,2026-08-31 04:44:33,2026-08-31 06:50:34,0.04,0.005,用户请求至可见助手回复的时长，按关键词归因并均分；不等同于连续人工工时。,0,,2026-09-18,a8f48a9
US042,运营/大V助理,多平台内容分发助手,作为运营或大V助理，我希望把复盘和内容摘要快速分发到多个平台，以便扩大获客和转化。,业务需求,未完成,"运营,分发",工作台发布中心 / 运营后台,当前仍依赖人工分发，无统一素材包与渠道模板,否,否,否,部分,内容摘要 -> 渠道改写 -> 人工确认 -> 多平台分发记录,是,可沉淀 channel_template、distribution_asset、campaign_result。,会议认为现阶段助理人工可完成，转化效果与人力成本需后续验证,新增,是,会议提到当前已有助理分发，但后续仍需评估转化与人力成本。,三期,Batch 3（商业化/生态）,P2,依赖渠道策略、素材模板和运营归因,6.0,2026-10-04,2026-10-08,W12 三期生态,处理社区、Skill 生态和内容分发等扩展能力,未完成,未找到多平台分发适配器。,不适用,未实现。,0,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未消耗。,,,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未耗时。,0,,2026-09-18,a8f48a9
US043,技术团队,对接Gangtise API并完成积分测试,作为技术团队，我希望尽快研究并打通 Gangtise API 与积分测试，以便把演示数据切到真实数据源。,技术需求,部分实现,"指标,数据源",后端数据接入层 / Admin 配置,src/domain/market_services.py + Admin 指标源测试/落地/同步链路 + tests/reports/indicator_sync_bdd_report.html,否,是,否,部分,外部API接入 -> 数据标准化 -> 入库/缓存 -> 提供给知识库与Agent消费,是,需要 source_connector、sync_job、raw_document、normalized_event 等对象。,已完成部分 Gangtise 指标接入、测试与 BDD 报告，但全量迁移到统一数据接入方式仍未完成,新增,是,会议把 API 研究和积分测试列为明确待办。,MVP核心,Batch 1（1个月内）,P0,外部依赖强，需明确API可用性、配额和缓存策略,9.0,2026-06-19,2026-07-08,W1 基础底座,租户/用户/功能控开/合规/数据底座先就位，避免后续返工,部分实现,src/domain/market_services.py；tests/test_gangtise_provider_bdd.py；tests/test_daily_finance_broadcast_bdd.py,2026-08-18 至 2026-09-18,Gangtise 接口、积分测试和播报接入已存在；外部返回稳定性需监控。,33716,98646,132362,项目会话可见文本离线估算；242轮按用户请求关键词归因，多需求轮次均分；不是供应商账单。,2026-05-20 16:07:16,2026-09-18 23:19:28,25.50,3.187,用户请求至可见助手回复的时长，按关键词归因并均分；不等同于连续人工工时。,2,"BUG-003,BUG-007",2026-09-18,a8f48a9
US044,平台管理员,统一合规边界与免责声明控制,作为平台管理员，我希望统一控制基本面、复盘、消息和 Hermes 的合规文案与敏感表达边界，以便降低荐股和内容合规风险。,技术需求,部分实现,合规,Admin 合规配置 / H5 / DM / Hermes / 门户,当前已有零散文案和回复模板，但缺少统一策略中心,否,部分,否,部分,敏感意图识别 -> 风险等级判定 -> 文案降级/拦截 -> 审计留痕,否,,需覆盖买卖建议、收益承诺、未验证信息、引用转载等场景,新增,是,会议重点强调荐股风险和首页个股信息的擦边风险。,MVP核心,Batch 1（1个月内）,P0,高合规优先级，需全链路统一,7.0,2026-06-19,2026-07-08,W1 基础底座,租户/用户/功能控开/合规/数据底座先就位，避免后续返工,部分实现,src/runtime.py；templates/login.html；src/domain/ai_services.py,2026-08-31 至 2026-09-18,模型与功能权限有控制，完整合规策略和免责声明统一性仍需验收。,2650,6721,9371,项目会话可见文本离线估算；13轮按用户请求关键词归因，多需求轮次均分；不是供应商账单。,2026-05-21 10:45:31,2026-09-08 02:33:06,0.30,0.037,用户请求至可见助手回复的时长，按关键词归因并均分；不等同于连续人工工时。,0,,2026-09-18,a8f48a9
US045,大V,按自选股自动归纳研究板块,作为大V，我希望系统根据我的自选股自动归纳所属板块、主题和主线，以便快速形成基本面研究面板和复盘样本池。,业务需求,部分实现,"自选股,复盘",H5 自选股 / 工作台 Dashboard / 复盘台,H5 与工作台已展示按板块聚合的粉丝个股观察图表，复盘摘要也可按选中自选股生成归纳；仍缺正式板块配置中心,否,部分,部分,部分,自选股池 -> 股票实体标准化 -> 行业/主题映射 -> 主线聚类 -> 生成板块摘要与推荐观察指标。,是,知识库应支持 watchlist_theme、board_cluster、symbol_theme_binding、theme_evidence。,当前代码里已有 board 字段和相关指标提示，但没有形成独立的板块归纳产品能力。,新增,否,这是你本轮补充明确的基本面核心能力，需要从自选股延展到主题归纳。,MVP核心,Batch 1（1个月内）,P0,依赖股票到行业/主题映射与租户级自选股持久化,6.0,2026-07-31,2026-08-22,W4 自选股研究层,完成自选股、K线、板块归纳、预警与相关配置中心,部分实现,src/domain/market_services.py；templates/h5.html,2026-08-18 至 2026-09-18,自选股/指标/主题展示存在，自动研究板块归纳仍有限。,0,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未消耗。,,,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未耗时。,0,,2026-09-18,a8f48a9
US046,粉丝用户/大V,查看自选股预警分析,作为粉丝用户或大V，我希望看到自选股的预警等级、触发原因和后续观察项，以便及时发现基本面和交易层面的异动。,业务需求,部分实现,"自选股,预警",H5 自选股详情 / 工作台研究面板,个股详情已有 alert_level / alert_text 等样本预警字段，但未形成统一预警规则中心和历史事件治理,否,部分,否,部分,指标监控 -> 阈值/事件触发 -> 风险等级判定 -> 原因解释 -> 推送到自选股详情/复盘/消息提醒。,是,知识库应支持 alert_rule、alert_event、watch_item、followup_action、theme_risk_pattern。,当前已有预警字段和局部提示文案，但缺少统一规则配置、历史事件留存和消息联动。,新增,否,这是你本轮补充明确的自选股核心能力，应与基本面、复盘和消息联动。,MVP核心,Batch 1（1个月内）,P0,依赖真实指标源、阈值配置和消息触达机制,6.0,2026-07-31,2026-08-22,W4 自选股研究层,完成自选股、K线、板块归纳、预警与相关配置中心,部分实现,src/domain/workbench_services.py；src/web/api_kol.py,2026-08-19 至 2026-09-18,自选股观察和互动分析存在，完整预警触达未完成。,452,1158,1610,项目会话可见文本离线估算；5轮按用户请求关键词归因，多需求轮次均分；不是供应商账单。,2026-06-07 16:53:47,2026-09-03 19:12:16,0.06,0.008,用户请求至可见助手回复的时长，按关键词归因并均分；不等同于连续人工工时。,0,,2026-09-18,a8f48a9
US047,大V/运营,配置基本面展示模板与字段,作为大V或运营，我希望配置基本面页展示哪些模块、字段、排序和文案口径，以便不同租户按自己的研究框架展示内容。,技术需求,未完成,"自选股,模板",工作台基本面配置 / 租户详情 / H5 基本面页,当前基本面详情主要由 gen_watchlist_details() 硬编码返回，缺少租户级字段模板 CRUD,否,是,否,否,,是,需支持 fundamental_template、field_definition、tenant_field_binding、display_order、copy_variant。,这是“基本面有展示，但没有配置展示能力”的核心缺口。,新增,否,这是本轮补充的展示后 CRUD 能力，直接支撑基本面产品化。,MVP核心,Batch 1（1个月内）,P0,需和租户权限、合规字段、前台渲染协议同步设计,9.0,2026-07-18,2026-07-30,W3 基本面与Dashboard,把基本面首页、智能看板、提示词配置从演示态拉到可配置态,部分实现,src/domain/market_services.py；templates/h5.html；templates/kol_workbench.html,2026-09-17 至 2026-09-18,大V可配置市场4、行业10、宏观6项；尚非通用模板字段引擎。,31,136,168,项目会话可见文本离线估算；1轮按用户请求关键词归因，多需求轮次均分；不是供应商账单。,2026-09-17 23:20:36,2026-09-17 23:24:41,0.01,0.002,用户请求至可见助手回复的时长，按关键词归因并均分；不等同于连续人工工时。,0,,2026-09-18,a8f48a9
US048,技术平台,维护自选股详情数据源与K线配置,作为技术平台，我希望可维护自选股详情、K线、均线和指标来源的配置与数据更新规则，以便前台展示不再依赖演示样本。,技术需求,部分实现,"自选股,数据源",后端数据层 / Admin 数据源配置,当前 K线与详情数据来自 gen_watchlist_details() 演示数据，缺少真实数据接入和管理 CRUD,否,是,否,否,,否,,自选股详情、K线与 ECharts 已接入一部分真实数据能力，但数据源治理与统一配置仍未全部完成,新增,是,与会议里 API 对接、真实数据源替换演示数据的方向一致。,MVP核心,Batch 1（1个月内）,P0,依赖外部行情/基础数据源、缓存与刷新策略,9.0,2026-07-31,2026-08-22,W4 自选股研究层,完成自选股、K线、板块归纳、预警与相关配置中心,部分实现,src/domain/market_services.py；tests/test_watchlist_akshare_provider.py,2026-08-19 至 2026-09-18,数据源与K线降级已实现，第三方免费源不稳定性仍存在。,5714,24586,30300,项目会话可见文本离线估算；62轮按用户请求关键词归因，多需求轮次均分；不是供应商账单。,2026-05-27 13:19:02,2026-09-18 02:16:44,4.46,0.558,用户请求至可见助手回复的时长，按关键词归因并均分；不等同于连续人工工时。,0,,2026-09-18,a8f48a9
US049,大V/运营,维护自选股板块映射与主题分组,作为大V或运营，我希望对自选股的板块、主题、主线和关注标签做新增、修改、归并和排序，以便板块归纳能力可持续维护。,技术需求,未完成,"自选股,配置",工作台自选股配置 / 复盘台 / Dashboard 配置,当前 board/theme 主要内嵌在样本数据中，缺少可维护映射表和租户分组 CRUD,否,部分,否,部分,股票池标准化 -> 推荐主题映射 -> 人工确认归组 -> 回写租户配置。,是,需支持 board_taxonomy、theme_group、symbol_board_mapping、tenant_watchlist_group。,US045 是展示/归纳能力，这条是其背后的配置 CRUD。,新增,否,这是本轮新增的支撑性需求，用于避免板块归纳只能写死在样本里。,MVP核心,Batch 1（1个月内）,P0,依赖股票标准化主数据与租户级分组权限,9.0,2026-07-31,2026-08-22,W4 自选股研究层,完成自选股、K线、板块归纳、预警与相关配置中心,未完成,未找到独立的自选股板块映射管理页。,不适用,展示配置不等于完整主题分组管理。,0,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未消耗。,,,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未耗时。,0,,2026-09-18,a8f48a9
US050,大V/平台管理员,维护自选股预警规则与触达策略,作为大V或平台管理员，我希望维护自选股预警规则、阈值、等级和通知策略，以便预警分析可以持续生效而不是写死在演示数据中。,技术需求,未完成,"自选股,预警",工作台预警中心 / Admin 规则配置 / 消息策略,当前 alert_level、alert_text 为样本字段，缺少规则 CRUD、历史记录和推送策略配置,否,部分,否,部分,规则触发 -> 风险分级 -> 生成解释文案 -> 分发到详情页/复盘/消息。,是,需支持 alert_rule、threshold_set、notification_policy、alert_history、followup_template。,US046 是预警展示能力，这条是其背后的规则配置与 CRUD。,新增,否,这是本轮新增的支撑性需求，用于把预警从展示文案变成可运营能力。,MVP核心,Batch 1（1个月内）,P0,依赖真实指标数据、消息通道和审计留痕,9.0,2026-07-31,2026-08-22,W4 自选股研究层,完成自选股、K线、板块归纳、预警与相关配置中心,未完成,未找到规则配置与触达任务闭环。,不适用,未实现。,0,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未消耗。,,,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未耗时。,0,,2026-09-18,a8f48a9
